  100    0
* Test of HISTNORM: Example of Histogram *
(5F10.5)
  0.5194   -1.0927    0.8790   -0.0681    0.8085
 -0.7039    0.9515   -0.7970   -1.6707   -1.4955
  0.0757    0.4986   -1.5970    1.6004   -0.7506
  0.5064   -1.4864    0.7430    1.5845   -0.4163
  0.0983    0.2106    0.0628    0.3839   -0.5068
  1.0966   -0.0089   -1.6713   -1.7874   -0.1059
 -0.0941    0.3218   -1.4204   -1.4234    0.8575
  0.8641   -0.1631    0.4728   -1.5566   -1.5122
  0.9900    0.8463    0.0376   -0.8225    1.2079
 -0.6249   -0.5056   -0.9805   -2.2564   -0.9969
 -3.2652   -0.0401    0.0868    1.4658    1.9599
  0.1904    1.7103    0.0168    0.3255   -0.5960
 -0.5555    2.1899   -1.1199    0.9756   -1.5899
 -0.4111    2.8087    0.9423    1.0956   -1.3775
  0.2341    0.8598    0.7154    0.9066    0.7494
 -1.7611    1.6846    0.5028    1.1903   -0.9280  
  1.1161   -1.0978   -0.2788   -0.9464    0.0960
  0.4305    0.2020   -0.9526    2.2368    1.1748
  1.3520    0.1890   -0.5679   -0.4095   -0.5205
  2.6308   -0.2714   -1.0770    0.4917   -2.0555
    9    -2.0    0.5
    0
